Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     12.35     0.00        1     0.00     0.00  wasora_free_vars
  0.00     12.35     0.00        1     0.00     0.00  wasora_free_vectors
  0.00     12.35     0.00        1     0.00     0.00  wasora_get_mesh_ptr
  0.00     12.35     0.00        1     0.00     0.00  wasora_init_after_parser
  0.00     12.35     0.00        1     0.00     0.01  wasora_init_before_parser
  0.00     12.35     0.00        1     0.00     0.04  wasora_init_before_run
  0.00     12.35     0.00        1     0.00     0.06  wasora_instruction_mesh_post
  0.00     12.35     0.00        1     0.00     0.00  wasora_load_hardcoded_plugin
  0.00     12.35     0.00        1     0.00     0.01  wasora_mesh_element_types_init
  0.00     12.35     0.00        1     0.00     0.01  wasora_mesh_init_before_parser
  0.00     12.35     0.00        1     0.00     0.00  wasora_parse_first_pass
  0.00     12.35     0.00        1     0.00     0.00  wasora_parse_input_file
  0.00     12.35     0.00        1     0.00     0.01  wasora_parse_main_input_file
  0.00     12.35     0.00        1     0.00     0.00  wasora_parser_expression_in_string
  0.00     12.35     0.00        1     0.00     0.00  wasora_parser_file_path
  0.00     12.35     0.00        1     0.00     0.00  wasora_parser_keywords_ints
  0.00     12.35     0.00        1     0.00     0.00  wasora_push_error_message
  0.00     12.35     0.00        1     0.00    12.29  wasora_standard_run
  0.00     12.35     0.00        1     0.00    12.26  wasora_step

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2014 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.08% of 12.35 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     99.9    0.00   12.34                 main [1]
                0.00   12.29       1/1           wasora_standard_run [2]
                0.00    0.04       1/1           wasora_finalize [46]
                0.00    0.01       1/1           wasora_parse_main_input_file [52]
                0.00    0.00       1/1           wasora_load_hardcoded_plugin [205]
-----------------------------------------------
                0.00   12.29       1/1           main [1]
[2]     99.5    0.00   12.29       1         wasora_standard_run [2]
                0.00   12.26       1/1           wasora_step [3]
                0.00    0.04       1/1           wasora_init_before_run [47]
                0.00    0.00       1/1           wasora_debug [187]
-----------------------------------------------
                0.00   12.26       1/1           wasora_standard_run [2]
[3]     99.2    0.00   12.26       1         wasora_step [3]
                0.00    9.23       1/1           milonga_instruction_step [4]
                0.26    2.71       1/1           wasora_instruction_mesh [11]
                0.00    0.06       1/1           wasora_instruction_mesh_post [39]
                0.00    0.00      12/12          wasora_instruction_print [77]
-----------------------------------------------
                0.00    9.23       1/1           wasora_step [3]
[4]     74.7    0.00    9.23       1         milonga_instruction_step [4]
                0.01    6.33       1/1           diffusion_elements_matrices_build [7]
                0.03    2.44       1/1           diffusion_elements_normalize_flux [12]
                0.11    0.30       1/1           diffusion_elements_results_fill_power [19]
                0.01    0.00       1/1           diffusion_elements_results_fill_flux [59]
                0.00    0.00       6/6           PetscTime [137]
                0.00    0.00       6/6           milonga_get_cpu_time [140]
                0.00    0.00       1/1           diffusion_elements_problem_init [161]
                0.00    0.00       1/1           milonga_read_boundaries [175]
                0.00    0.00       1/1           milonga_solve_eigen_slepc [177]
-----------------------------------------------
                0.04    2.29  812032/2520576     mesh_integral_over_element [13]
                0.04    2.41  854272/2520576     mesh_compute_fem_objects_at_gauss [9]
                0.04    2.41  854272/2520576     wasora_instruction_mesh [11]
[5]     58.6    0.11    7.12 2520576         mesh_integration_weight [5]
                1.39    5.08 2520576/2520576     mesh_compute_dxdr [6]
                0.14    0.38 2520576/2520576     mesh_compute_h [17]
                0.12    0.00 2520576/3374848     mesh_determinant [24]
                0.01    0.00  854273/854273      mesh_alloc_fem_objects [58]
-----------------------------------------------
                1.39    5.08 2520576/2520576     mesh_integration_weight [5]
[6]     52.4    1.39    5.08 2520576         mesh_compute_dxdr [6]
                4.00    0.00 132268032/176357592     mesh_eight_node_hexahedron_dhdr [10]
                1.06    0.00 32348160/43131006     mesh_six_node_prism_dhdr [15]
                0.03    0.00 1228800/1843240     mesh_four_node_quad_dhdr [41]
                0.00    0.00  137728/29131264     mesh_subtract [33]
                0.00    0.00   92160/138264      mesh_three_node_triang_dhdr [83]
                0.00    0.00   68864/68864       mesh_normalized_cross [88]
                0.00    0.00   68864/68864       mesh_cross [86]
                0.00    0.00   68864/68864       mesh_dot [87]
-----------------------------------------------
                0.01    6.33       1/1           milonga_instruction_step [4]
[7]     51.3    0.01    6.33       1         diffusion_elements_matrices_build [7]
                0.11    5.92  109824/109824      diffusion_elements_build_volume_objects [8]
                0.00    0.30   10880/10880       diffusion_elements_build_robin_objects [21]
                0.00    0.00       1/1           diffusion_elements_allocate_general_elemental_objects [159]
                0.00    0.00       1/1           diffusion_elements_set_essential_bc [162]
                0.00    0.00       1/2           milonga_assembly_objects [151]
-----------------------------------------------
                0.11    5.92  109824/109824      diffusion_elements_matrices_build [7]
[8]     48.8    0.11    5.92  109824         diffusion_elements_build_volume_objects [8]
                0.00    5.65  812032/854272      mesh_compute_fem_objects_at_gauss [9]
                0.27    0.00 4872192/5726477     wasora_evaluate_expression [20]
                0.00    0.00       2/4           diffusion_elements_allocate_particular_elemental_objects [142]
-----------------------------------------------
                0.00    0.29   42240/854272      diffusion_elements_build_robin_objects [21]
                0.00    5.65  812032/854272      diffusion_elements_build_volume_objects [8]
[9]     48.1    0.00    5.94  854272         mesh_compute_fem_objects_at_gauss [9]
